Year,Infectious diseases,Age,Region,Value
2024,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,20
2015,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,88.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,90.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,100.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,90
2019,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,17.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,19.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,69.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,76.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,32
2024,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,36.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,70.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,100
2017,ill_3_m_m_r,age_vac_1_under_1_year,,88.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,85.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,28.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,47.9
2021,ill_3_m_m_r,age_vac_1_under_1_year,,58.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,55.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,10
2024,ill_3_m_m_r,age_vac_1_under_1_year,,83.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,69.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,63.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,85
2018,ill_3_m_m_r,age_vac_1_under_1_year,,92.2
2019,ill_3_m_m_r,age_vac_1_under_1_year,,26
2020,ill_3_m_m_r,age_vac_1_under_1_year,,18.4
2021,ill_3_m_m_r,age_vac_1_under_1_year,,62.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,,72.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,14.3
2024,ill_3_m_m_r,age_vac_1_under_1_year,,37.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,42.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,52.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,,75.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,8.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,8.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,60.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,30.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,3.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,34
2015,ill_3_m_m_r,age_vac_1_under_1_year,,42.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,,28.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,63.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,68.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,16.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,14
2021,ill_3_m_m_r,age_vac_1_under_1_year,,46.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,34.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,8.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,25.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,49.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,50.8
2017,ill_3_m_m_r,age_vac_1_under_1_year,,60.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,58.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,14.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,,17.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,56.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,37.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,10.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,33.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,58.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,67.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,85.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,82.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,24.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,22.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,69.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,70.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,34.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,36.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,79.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,79
2017,ill_3_m_m_r,age_vac_1_under_1_year,,92.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,90.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,60.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,58.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,81.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,59.5
2023,ill_3_m_m_r,age_vac_1_under_1_year,,31.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,,39.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,70.64550264550265
2016,ill_3_m_m_r,age_vac_1_under_1_year,,90.23407022106632
2017,ill_3_m_m_r,age_vac_1_under_1_year,,100
2018,ill_3_m_m_r,age_vac_1_under_1_year,,100
2019,ill_3_m_m_r,age_vac_1_under_1_year,,58.43386243386244
2020,ill_3_m_m_r,age_vac_1_under_1_year,,43.64124722643933
2021,ill_3_m_m_r,age_vac_1_under_1_year,,43.461060246411215
2022,ill_3_m_m_r,age_vac_1_under_1_year,,43.72681049883194
2023,ill_3_m_m_r,age_vac_1_under_1_year,,17.596177687920807
2024,ill_3_m_m_r,age_vac_1_under_1_year,,94.7936507936508
2015,ill_3_m_m_r,age_vac_1_under_1_year,,47.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,58.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,81.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,72.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,19.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,21.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,55.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,51.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,19.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,,28
2015,ill_3_m_m_r,age_vac_1_under_1_year,,56.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,61.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,82.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,,88
2019,ill_3_m_m_r,age_vac_1_under_1_year,,23
2020,ill_3_m_m_r,age_vac_1_under_1_year,,42.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,69.7
2022,ill_3_m_m_r,age_vac_1_under_1_year,,72.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,31.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,29.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,45.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,50.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,69.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,74.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,21.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,50
2022,ill_3_m_m_r,age_vac_1_under_1_year,,58.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,16.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,20.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,38.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,68
2018,ill_3_m_m_r,age_vac_1_under_1_year,,74.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,13.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,27.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,47.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,51.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,22
2015,ill_3_m_m_r,age_vac_1_under_1_year,,57.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,70.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,97.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,13.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,15.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,69.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,63
2023,ill_3_m_m_r,age_vac_1_under_1_year,,30.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,22.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,60.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,66.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,82
2018,ill_3_m_m_r,age_vac_1_under_1_year,,81.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,18
2021,ill_3_m_m_r,age_vac_1_under_1_year,,52.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,52.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,23.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,19.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,40
2016,ill_3_m_m_r,age_vac_1_under_1_year,,65.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,77.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,72.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,9.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,17
2021,ill_3_m_m_r,age_vac_1_under_1_year,,59
2022,ill_3_m_m_r,age_vac_1_under_1_year,,46.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,18
2024,ill_3_m_m_r,age_vac_1_under_1_year,,37.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,36.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,61.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,99.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,,80.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,20
2020,ill_3_m_m_r,age_vac_1_under_1_year,,38.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,62.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,20
2024,ill_3_m_m_r,age_vac_1_under_1_year,,30.6
2015,ill_3_m_m_r,age_vac_1_under_1_year,,54.2
2016,ill_3_m_m_r,age_vac_1_under_1_year,,48.9
2017,ill_3_m_m_r,age_vac_1_under_1_year,,100.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,95.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,16
2020,ill_3_m_m_r,age_vac_1_under_1_year,,23.9
2021,ill_3_m_m_r,age_vac_1_under_1_year,,88.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,76.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,31.3
2024,ill_3_m_m_r,age_vac_1_under_1_year,,26.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,50.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,68.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,90.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,78.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,10.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,22.9
2021,ill_3_m_m_r,age_vac_1_under_1_year,,66.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,56
2023,ill_3_m_m_r,age_vac_1_under_1_year,,19.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,14.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,55.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,71.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,78
2019,ill_3_m_m_r,age_vac_1_under_1_year,,28.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,39.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,67.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,,62.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,10.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,,46.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,63.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,71.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,,110.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,85.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,20.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,16
2021,ill_3_m_m_r,age_vac_1_under_1_year,,72.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,30.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,32.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,,76.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,88.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,,93.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,92.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,29.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,42.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,64.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,64.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,21.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,39
2015,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,128.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,95.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,89.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,73.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,46.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,30.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,34
2022,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,42.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,51.3
2024,ill_3_m_m_r,age_vac_1_under_1_year,35_reg_Kyiv_city,71.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,18
2015,ill_3_m_m_r,age_vac_1_under_1_year,,51.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,71.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,88.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,88.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,53.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,51.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,83.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,76.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,44.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,34.8
2015,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,43.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,72.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,90.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,92.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,46.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,46.4
2021,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,80.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,70.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,56.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,11_reg_Vinnytsya,33.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,31.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,61.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,86.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,84.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,26.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,34.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,73.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,72
2023,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,28.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,12_reg_Volyn,8.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,51
2016,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,74.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,89.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,88.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,45.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,38
2021,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,99.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,85.2
2023,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,77.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,44
2015,ill_3_m_m_r,age_vac_1_under_1_year,,73.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,87.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,84.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,70.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,99.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,82.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,58.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,54.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,43.3
2016,ill_3_m_m_r,age_vac_1_under_1_year,,73
2017,ill_3_m_m_r,age_vac_1_under_1_year,,82.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,83.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,48.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,48.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,88.6
2022,ill_3_m_m_r,age_vac_1_under_1_year,,79.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,35
2024,ill_3_m_m_r,age_vac_1_under_1_year,,17.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,49.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,57.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,81.7
2019,ill_3_m_m_r,age_vac_1_under_1_year,,43.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,38.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,64.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,62.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,35.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,25.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,40.8
2016,ill_3_m_m_r,age_vac_1_under_1_year,,68.3
2019,ill_3_m_m_r,age_vac_1_under_1_year,,49.1
2020,ill_3_m_m_r,age_vac_1_under_1_year,,46.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,76.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,75.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,44.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,34.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,42.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,56.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,78.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,77.3
2020,ill_3_m_m_r,age_vac_1_under_1_year,,31.7
2021,ill_3_m_m_r,age_vac_1_under_1_year,,70.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,58.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,29
2024,ill_3_m_m_r,age_vac_1_under_1_year,,32.1
2015,ill_3_m_m_r,age_vac_1_under_1_year,,46.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,81.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,94.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,59.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,,57.5
2021,ill_3_m_m_r,age_vac_1_under_1_year,,95.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,88
2023,ill_3_m_m_r,age_vac_1_under_1_year,,52.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,53.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,81.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,,92.1
2018,ill_3_m_m_r,age_vac_1_under_1_year,,86
2019,ill_3_m_m_r,age_vac_1_under_1_year,,76.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,70.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,80.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,79.9
2023,ill_3_m_m_r,age_vac_1_under_1_year,,63.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,20.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,77.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,95.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,84.5
2018,ill_3_m_m_r,age_vac_1_under_1_year,,88.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,76.2
2020,ill_3_m_m_r,age_vac_1_under_1_year,,79.8
2021,ill_3_m_m_r,age_vac_1_under_1_year,,87.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,82.8
2023,ill_3_m_m_r,age_vac_1_under_1_year,,44.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,88.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,48.7
2016,ill_3_m_m_r,age_vac_1_under_1_year,,51.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,78.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,76.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,55.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,45.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,77.5
2022,ill_3_m_m_r,age_vac_1_under_1_year,,69.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,61.6
2024,ill_3_m_m_r,age_vac_1_under_1_year,,39.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,38.6
2017,ill_3_m_m_r,age_vac_1_under_1_year,,95.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,92
2019,ill_3_m_m_r,age_vac_1_under_1_year,,62.6
2020,ill_3_m_m_r,age_vac_1_under_1_year,,59.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,95.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,92.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,71
2024,ill_3_m_m_r,age_vac_1_under_1_year,,30.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,39.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,62.9
2017,ill_3_m_m_r,age_vac_1_under_1_year,,86.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,93.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,39.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,37
2021,ill_3_m_m_r,age_vac_1_under_1_year,,73
2022,ill_3_m_m_r,age_vac_1_under_1_year,,69.3
2023,ill_3_m_m_r,age_vac_1_under_1_year,,30.8
2024,ill_3_m_m_r,age_vac_1_under_1_year,,33.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,69.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,87.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,96.4
2018,ill_3_m_m_r,age_vac_1_under_1_year,,94.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,58.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,70.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,79.9
2022,ill_3_m_m_r,age_vac_1_under_1_year,,73.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,31.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,46.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,24.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,51.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,81.7
2018,ill_3_m_m_r,age_vac_1_under_1_year,,84.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,24.5
2020,ill_3_m_m_r,age_vac_1_under_1_year,,25.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,86.3
2022,ill_3_m_m_r,age_vac_1_under_1_year,,66.6
2023,ill_3_m_m_r,age_vac_1_under_1_year,,28.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,11.2
2015,ill_3_m_m_r,age_vac_1_under_1_year,,60.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,90.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,94.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,96.5
2019,ill_3_m_m_r,age_vac_1_under_1_year,,49
2020,ill_3_m_m_r,age_vac_1_under_1_year,,45.1
2021,ill_3_m_m_r,age_vac_1_under_1_year,,80.1
2022,ill_3_m_m_r,age_vac_1_under_1_year,,91.4
2023,ill_3_m_m_r,age_vac_1_under_1_year,,60.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,32.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,40.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,55.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,76.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,76.9
2019,ill_3_m_m_r,age_vac_1_under_1_year,,34.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,35.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,67.8
2022,ill_3_m_m_r,age_vac_1_under_1_year,,70.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,50.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,28.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,47.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,88.4
2017,ill_3_m_m_r,age_vac_1_under_1_year,,94.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,92.4
2019,ill_3_m_m_r,age_vac_1_under_1_year,,42
2020,ill_3_m_m_r,age_vac_1_under_1_year,,75.2
2021,ill_3_m_m_r,age_vac_1_under_1_year,,75.4
2022,ill_3_m_m_r,age_vac_1_under_1_year,,71.7
2023,ill_3_m_m_r,age_vac_1_under_1_year,,37.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,22.5
2015,ill_3_m_m_r,age_vac_1_under_1_year,,33.1
2016,ill_3_m_m_r,age_vac_1_under_1_year,,53.2
