Year,Region,Value
2022,19_reg_Kyiv,89.52
2023,19_reg_Kyiv,91.8
2024,19_reg_Kyiv,91.29
2018,35_reg_Kyiv_city,79.87
2019,35_reg_Kyiv_city,78.3
2020,35_reg_Kyiv_city,34.26
2021,35_reg_Kyiv_city,88.01
2022,35_reg_Kyiv_city,88.43
2023,35_reg_Kyiv_city,89.52
2024,35_reg_Kyiv_city,88.75
2018,,14.43
2019,,19.32
2020,,28.75
2021,,38.87
2022,,39.94
2023,,42.7
2024,,44.84
2018,11_reg_Vinnytsya,6.82
2019,11_reg_Vinnytsya,8.09
2020,11_reg_Vinnytsya,17.56
2021,11_reg_Vinnytsya,26.1
2022,11_reg_Vinnytsya,34.68
2023,11_reg_Vinnytsya,41.67
2024,11_reg_Vinnytsya,39.9
2018,12_reg_Volyn,8.77
2019,12_reg_Volyn,14.95
2020,12_reg_Volyn,21.37
2021,12_reg_Volyn,18.63
2022,12_reg_Volyn,26.15
2023,12_reg_Volyn,22.31
2024,12_reg_Volyn,27.06
2018,13_reg_Dnipropetrovsk,24.88
2019,13_reg_Dnipropetrovsk,35.76
2020,13_reg_Dnipropetrovsk,50.97
2021,13_reg_Dnipropetrovsk,56.97
2022,13_reg_Dnipropetrovsk,61.46
2023,13_reg_Dnipropetrovsk,65.33
2024,13_reg_Dnipropetrovsk,64.02
2018,14_reg_Donetsk,19.17
2019,14_reg_Donetsk,23.45
2020,14_reg_Donetsk,38.21
2021,14_reg_Donetsk,76.26
2022,14_reg_Donetsk,50.34
2023,14_reg_Donetsk,54.68
2024,14_reg_Donetsk,64.66
2018,19_reg_Kyiv,22.06
2019,19_reg_Kyiv,38.1
2020,19_reg_Kyiv,48.4
2021,19_reg_Kyiv,53.8
2022,19_reg_Kyiv,53.65
2023,19_reg_Kyiv,56.43
2024,19_reg_Kyiv,59.68
2018,35_reg_Kyiv_city,32.08
2019,35_reg_Kyiv_city,33.93
2020,35_reg_Kyiv_city,19.44
2021,35_reg_Kyiv_city,61.36
2022,35_reg_Kyiv_city,69.26
2023,35_reg_Kyiv_city,76.38
2024,35_reg_Kyiv_city,77.51
2024,,84.38
2024,11_reg_Vinnytsya,87.16
2024,12_reg_Volyn,89.41
2024,13_reg_Dnipropetrovsk,85.61
2024,14_reg_Donetsk,95.18
2024,19_reg_Kyiv,94.03
2024,35_reg_Kyiv_city,93.94
