Year,Type of economic activity,Organisation and legal forms,Region,Value
2021,,,15_reg_Zhytomyr,30.4
2022,,,15_reg_Zhytomyr,30.5
2023,,,15_reg_Zhytomyr,30.4
2024,,,15_reg_Zhytomyr,30.8
2025,,,15_reg_Zhytomyr,31.2
2020,,,16_reg_Zakarpattya,29.5
2021,,,16_reg_Zakarpattya,29.9
2022,,,16_reg_Zakarpattya,30.4
2023,,,16_reg_Zakarpattya,30.5
2024,,,16_reg_Zakarpattya,30.6
2025,,,16_reg_Zakarpattya,30.8
2020,,,17_reg_Zaporizhzhya,29.3
2021,,,17_reg_Zaporizhzhya,29.7
2022,,,17_reg_Zaporizhzhya,30.0
2023,,,17_reg_Zaporizhzhya,29.9
2024,,,17_reg_Zaporizhzhya,29.9
2025,,,17_reg_Zaporizhzhya,30.3
2020,,,18_reg_Ivano-Frankivsk,28.3
2021,,,18_reg_Ivano-Frankivsk,28.5
2022,,,18_reg_Ivano-Frankivsk,29.1
2023,,,18_reg_Ivano-Frankivsk,29.1
2024,,,18_reg_Ivano-Frankivsk,29.2
2025,,,18_reg_Ivano-Frankivsk,29.6
2020,,,19_reg_Kyiv,26.9
2021,,,19_reg_Kyiv,27.1
2022,,,19_reg_Kyiv,27.1
2023,,,19_reg_Kyiv,27.0
2024,,,19_reg_Kyiv,26.8
2025,,,19_reg_Kyiv,27.4
2020,,,20_reg_Kirovohrad,29.8
2021,,,20_reg_Kirovohrad,30.4
2022,,,20_reg_Kirovohrad,30.8
2023,,,20_reg_Kirovohrad,30.8
2024,,,20_reg_Kirovohrad,30.8
2025,,,20_reg_Kirovohrad,31.0
2020,,,21_reg_Luhansk,29.9
2021,,,21_reg_Luhansk,30.1
2022,,,21_reg_Luhansk,30.4
2023,,,21_reg_Luhansk,30.5
2024,,,21_reg_Luhansk,30.5
2025,,,21_reg_Luhansk,30.5
2020,,,22_reg_Lviv,28.0
2021,,,22_reg_Lviv,28.2
2022,,,22_reg_Lviv,28.5
2023,,,22_reg_Lviv,28.4
2024,,,22_reg_Lviv,28.6
2025,,,22_reg_Lviv,29.3
2020,,,23_reg_Mykolayiv,29.2
2021,,,23_reg_Mykolayiv,29.3
2022,,,23_reg_Mykolayiv,29.1
2023,,,23_reg_Mykolayiv,29.1
2024,,,23_reg_Mykolayiv,29.1
2025,,,23_reg_Mykolayiv,29.3
2020,,,24_reg_Odesa,29.9
2021,,,24_reg_Odesa,30.1
2022,,,24_reg_Odesa,30.3
2023,,,24_reg_Odesa,30.4
2024,,,24_reg_Odesa,30.3
2025,,,24_reg_Odesa,30.7
2020,,,25_reg_Poltava,30.0
2021,,,25_reg_Poltava,30.2
2022,,,25_reg_Poltava,30.2
2023,,,25_reg_Poltava,30.1
2024,,,25_reg_Poltava,30.0
2025,,,25_reg_Poltava,30.5
2020,,,26_reg_Rivne,28.7
2021,,,26_reg_Rivne,29.4
2022,,,26_reg_Rivne,29.6
2023,,,26_reg_Rivne,29.6
2024,,,26_reg_Rivne,29.9
2025,,,26_reg_Rivne,30.3
2020,,,27_reg_Sumy,28.3
2021,,,27_reg_Sumy,28.7
2022,,,27_reg_Sumy,28.6
2023,,,27_reg_Sumy,28.6
2024,,,27_reg_Sumy,28.8
2025,,,27_reg_Sumy,29.1
2020,,,28_reg_Ternopil,27.9
2021,,,28_reg_Ternopil,27.8
2022,,,28_reg_Ternopil,28.1
2023,,,28_reg_Ternopil,27.9
2024,,,28_reg_Ternopil,27.9
2025,,,28_reg_Ternopil,28.4
2020,,,29_reg_Kharkiv,28.6
2021,,,29_reg_Kharkiv,28.7
2022,,,29_reg_Kharkiv,28.8
2023,,,29_reg_Kharkiv,28.7
2024,,,29_reg_Kharkiv,28.5
2025,,,29_reg_Kharkiv,28.7
2020,,,30_reg_Kherson,31.4
2021,,,30_reg_Kherson,31.6
2022,,,30_reg_Kherson,32.3
2023,,,30_reg_Kherson,32.5
2024,,,30_reg_Kherson,32.5
2025,,,30_reg_Kherson,32.6
2020,,,31_reg_Khmelnytskiy,29.1
2021,,,31_reg_Khmelnytskiy,29.5
2022,,,31_reg_Khmelnytskiy,29.6
2023,,,31_reg_Khmelnytskiy,29.8
2024,,,31_reg_Khmelnytskiy,30.1
2025,,,31_reg_Khmelnytskiy,30.6
2020,,,32_reg_Cherkasy,30.2
2021,,,32_reg_Cherkasy,30.5
2022,,,32_reg_Cherkasy,30.3
2023,,,32_reg_Cherkasy,30.2
2024,,,32_reg_Cherkasy,30.2
2025,,,32_reg_Cherkasy,30.4
2020,,,33_reg_Chernivtsi,28.5
2021,,,33_reg_Chernivtsi,28.9
2022,,,33_reg_Chernivtsi,29.0
2023,,,33_reg_Chernivtsi,29.1
2024,,,33_reg_Chernivtsi,29.5
2025,,,33_reg_Chernivtsi,30.0
2020,,,34_reg_Chernihiv,30.1
2021,,,34_reg_Chernihiv,30.4
2022,,,34_reg_Chernihiv,30.1
2023,,,34_reg_Chernihiv,30.1
2024,,,34_reg_Chernihiv,30.2
2025,,,34_reg_Chernihiv,30.6
2020,,,35_reg_Kyiv_city,27.4
2021,,,35_reg_Kyiv_city,27.5
2022,,,35_reg_Kyiv_city,27.6
2023,,,35_reg_Kyiv_city,27.5
2024,,,35_reg_Kyiv_city,27.3
2025,,,35_reg_Kyiv_city,27.9
