Year,group_16,Value
2015,group_16,
2016,group_16,
2017,group_16,
2018,group_16,
2019,group_16,
2020,group_16,
2021,group_16,
2022,group_16,
2023,group_16,
2024,group_16,
2015,group_label_103,
2016,group_label_103,
2017,group_label_103,
2018,group_label_103,
2019,group_label_103,
2020,group_label_103,27.0
2021,group_label_103,26.0
2022,group_label_103,17.7
2023,group_label_103,19.5
2024,group_label_103,18.7
2015,group_label_104,
2016,group_label_104,
2017,group_label_104,
2018,group_label_104,
2019,group_label_104,
2020,group_label_104,
2021,group_label_104,21.6
2022,group_label_104,15.4
2023,group_label_104,22.2
2024,group_label_104,23.2
