Year,Sphere,Status,Regin,Value
2021,,,12_reg_Volyn,
2021,,,13_reg_Dnipropetrovsk,2.0
2021,,,14_reg_Donetsk,8.0
2021,,,15_reg_Zhytomyr,1.0
2021,,,16_reg_Zakarpattya,4.0
2021,,,17_reg_Zaporizhzhya,11.0
2021,,,18_reg_Ivano-Frankivsk,1.0
2021,,,19_reg_Kyiv,13.0
2021,,,20_reg_Kirovohrad,2.0
2021,,,21_reg_Luhansk,5.0
2021,,,22_reg_Lviv,8.0
2021,,,23_reg_Mykolayiv,18.0
2021,,,24_reg_Odesa,1.0
2021,,,25_reg_Poltava,110.0
2021,,,26_reg_Rivne,
2021,,,27_reg_Sumy,
2021,,,28_reg_Ternopil,
2021,,,29_reg_Kharkiv,1.0
2021,,,30_reg_Kherson,2.0
2021,,,31_reg_Khmelnytskiy,4.0
2021,,,32_reg_Cherkasy,
2021,,,33_reg_Chernivtsi,1.0
2021,,,34_reg_Chernihiv,1.0
2021,,,35_reg_Kyiv_city,

2022,,,Ukraine,193.0
2022,,,11_reg_Vinnytsya,
2022,,,12_reg_Volyn,
2022,,,13_reg_Dnipropetrovsk,2.0
2022,,,14_reg_Donetsk,8.0
2022,,,15_reg_Zhytomyr,1.0
2022,,,16_reg_Zakarpattya,4.0
2022,,,17_reg_Zaporizhzhya,11.0
2022,,,18_reg_Ivano-Frankivsk,1.0
2022,,,19_reg_Kyiv,13.0
2022,,,20_reg_Kirovohrad,2.0
2022,,,21_reg_Luhansk,5.0
2022,,,22_reg_Lviv,8.0
2022,,,23_reg_Mykolayiv,18.0
2022,,,24_reg_Odesa,1.0
2022,,,25_reg_Poltava,110.0
2022,,,26_reg_Rivne,
2022,,,27_reg_Sumy,
2022,,,28_reg_Ternopil,
2022,,,29_reg_Kharkiv,1.0
2022,,,30_reg_Kherson,2.0
2022,,,31_reg_Khmelnytskiy,4.0
2022,,,32_reg_Cherkasy,
2022,,,33_reg_Chernivtsi,1.0
2022,,,34_reg_Chernihiv,1.0
2022,,,35_reg_Kyiv_city,

2023,,,Ukraine,198.0
2023,,,11_reg_Vinnytsya,
2023,,,12_reg_Volyn,1.0
2023,,,13_reg_Dnipropetrovsk,3.0
2023,,,14_reg_Donetsk,8.0
2023,,,15_reg_Zhytomyr,1.0
2023,,,16_reg_Zakarpattya,4.0
2023,,,17_reg_Zaporizhzhya,11.0
2023,,,18_reg_Ivano-Frankivsk,1.0
2023,,,19_reg_Kyiv,14.0
2023,,,20_reg_Kirovohrad,2.0
2023,,,21_reg_Luhansk,5.0
2023,,,22_reg_Lviv,8.0
2023,,,23_reg_Mykolayiv,18.0
2023,,,24_reg_Odesa,2.0
2023,,,25_reg_Poltava,110.0
2023,,,26_reg_Rivne,
2023,,,27_reg_Sumy,
2023,,,28_reg_Ternopil,
2023,,,29_reg_Kharkiv,1.0
2023,,,30_reg_Kherson,2.0
2023,,,31_reg_Khmelnytskiy,4.0
2023,,,32_reg_Cherkasy,
2023,,,33_reg_Chernivtsi,1.0
2023,,,34_reg_Chernihiv,1.0
2023,,,35_reg_Kyiv_city,

2024,,,Ukraine,200.0
2024,,,11_reg_Vinnytsya,
2024,,,12_reg_Volyn,1.0
2024,,,13_reg_Dnipropetrovsk,4.0
2024,,,14_reg_Donetsk,8.0
2024,,,15_reg_Zhytomyr,1.0
2024,,,16_reg_Zakarpattya,4.0
2024,,,17_reg_Zaporizhzhya,11.0
2024,,,18_reg_Ivano-Frankivsk,1.0
2024,,,19_reg_Kyiv,15.0
2024,,,20_reg_Kirovohrad,2.0
2024,,,21_reg_Luhansk,5.0
2024,,,22_reg_Lviv,8.0
2024,,,23_reg_Mykolayiv,18.0
2024,,,24_reg_Odesa,2.0
2024,,,25_reg_Poltava,110.0
2024,,,26_reg_Rivne,
2024,,,27_reg_Sumy,
2024,,,28_reg_Ternopil,
2024,,,29_reg_Kharkiv,1.0
2024,,,30_reg_Kherson,2.0
2024,,,31_reg_Khmelnytskiy,4.0
2024,,,32_reg_Cherkasy,
2024,,,33_reg_Chernivtsi,1.0
2024,,,34_reg_Chernihiv,1.0
2024,,,35_reg_Kyiv_city,

2015,energy_water_utilities,,Ukraine,
2015,transport_infrastructure,,Ukraine,
2015,healthcare,,Ukraine,
2015,tourism_recreation_culture_sport,,Ukraine,
2015,waste_management_excl_collection_transport,,Ukraine,
2015,other_institution,,Ukraine,
2015,,implemented,Ukraine,
2015,,not_implemented,Ukraine,
2015,,suspended_due_to_war,Ukraine,

2016,energy_water_utilities,,Ukraine,
2016,transport_infrastructure,,Ukraine,
2016,healthcare,,Ukraine,
2016,tourism_recreation_culture_sport,,Ukraine,
2016,waste_management_excl_collection_transport,,Ukraine,
2016,other_institution,,Ukraine,
2016,,implemented,Ukraine,
2016,,not_implemented,Ukraine,
2016,,suspended_due_to_war,Ukraine,

2017,energy_water_utilities,,Ukraine,
2017,transport_infrastructure,,Ukraine,
2017,healthcare,,Ukraine,
2017,tourism_recreation_culture_sport,,Ukraine,
2017,waste_management_excl_collection_transport,,Ukraine,
2017,other_institution,,Ukraine,
2017,,implemented,Ukraine,
2017,,not_implemented,Ukraine,
2017,,suspended_due_to_war,Ukraine,

2018,energy_water_utilities,,Ukraine,
2018,transport_infrastructure,,Ukraine,
2018,healthcare,,Ukraine,
2018,tourism_recreation_culture_sport,,Ukraine,
2018,waste_management_excl_collection_transport,,Ukraine,
2018,other_institution,,Ukraine,
2018,,implemented,Ukraine,
2018,,not_implemented,Ukraine,
2018,,suspended_due_to_war,Ukraine,

2019,energy_water_utilities,,Ukraine,
2019,transport_infrastructure,,Ukraine,
2019,healthcare,,Ukraine,
2019,tourism_recreation_culture_sport,,Ukraine,
2019,waste_management_excl_collection_transport,,Ukraine,
2019,other_institution,,Ukraine,
2019,,implemented,Ukraine,
2019,,not_implemented,Ukraine,
2019,,suspended_due_to_war,Ukraine,

2020,energy_water_utilities,,Ukraine,55.0
2020,transport_infrastructure,,Ukraine,5.0
2020,healthcare,,Ukraine,2.0
2020,tourism_recreation_culture_sport,,Ukraine,7.0
2020,waste_management_excl_collection_transport,,Ukraine,113
2020,other_institution,,Ukraine,10.0
2020,,implemented,Ukraine,39.0
2020,,not_implemented,Ukraine,153.0
2020,,suspended_due_to_war,Ukraine,

2021,energy_water_utilities,,Ukraine,55.0
2021,transport_infrastructure,,Ukraine,5.0
2021,healthcare,,Ukraine,2.0
2021,tourism_recreation_culture_sport,,Ukraine,7.0
2021,waste_management_excl_collection_transport,,Ukraine,113.0
2021,other_institution,,Ukraine,11.0
2021,,implemented,Ukraine,31.0
2021,,not_implemented,Ukraine,162.0
2021,,suspended_due_to_war,Ukraine,

2022,energy_water_utilities,,Ukraine,55.0
2022,transport_infrastructure,,Ukraine,5.0
2022,healthcare,,Ukraine,2.0
2022,tourism_recreation_culture_sport,,Ukraine,7.0
2022,waste_management_excl_collection_transport,,Ukraine,113.0
2022,other_institution,,Ukraine,11.0
2022,,implemented,Ukraine,18.0
2022,,not_implemented,Ukraine,162.0
