Year,Region,Value
2017,Chernivtsi,23.0
2018,Chernivtsi,21.0
2019,Chernivtsi,17.0
2020,Chernivtsi,10.0
2021,Chernivtsi,9.0
2022,Chernivtsi,3.0
2023,Chernivtsi,7.0
2024,Chernivtsi,15.0
2017,Chernihiv,22.0
2018,Chernihiv,29.0
2019,Chernihiv,28.0
2020,Chernihiv,13.0
2021,Chernihiv,8.0
2022,Chernihiv,8.0
2023,Chernihiv,24.0
2024,Chernihiv,48.0
2017,99_reg_Kyiv_city,10.0
2018,99_reg_Kyiv_city,9.0
2019,99_reg_Kyiv_city,9.0
2020,99_reg_Kyiv_city,12.0
2021,99_reg_Kyiv_city,22.0
2022,99_reg_Kyiv_city,19.0
2023,99_reg_Kyiv_city,42.0
2024,99_reg_Kyiv_city,61.0
