Value,Disaggregation combinations using this value,Number of indicators
1_hectares,10,2
1_total,16,4
1_vic_100,4,4
1_vict_per_100,10,2
2_per_100,16,4
2_roads,6,2
2_vic_149,8,2
2_vic_tot,8,2
2_vict_all,40,2
3_railways,6,2
kWh,12,2
min_day,6,1
number,6,2
per,14,4
Percentage,3,1
