Value,Disaggregation combinations using this value,Number of indicators
el_1_power,2,2
el_2_CHP,2,2
el_3_HPP,2,2
el_4_PSP,2,2
el_5_NPP,2,2
el_6_plants,2,2
el_7_alternative,2,2
