Value,Disaggregation combinations using this value,Number of indicators
1_all,1,1
age_vac_7_adult,1,1
boys,6,6
boys_1,1,1
children,1,1
female,7,7
females,21,7
females_1,30,23
girls,6,6
girls_1,1,1
male,7,7
males,21,7
males_1,30,23
men,49,8
women,49,8
