Indicator
#1-3-1
#1-3-1-a
#1-3-2
#1-3-2-a
#10-1-1
#10-1-1-a
#10-1-2
#10-1-2-a
#16-8-2
#16-8-2-a
#3-1-1
#3-1-1-a
#3-2-1
#3-2-1-a
#3-5-1
#3-5-1-a
#3-5-2
#3-5-2-a
#3-8-1
#3-8-1-a
#3-8-2
#3-8-2-a
#4-2-1
#4-2-1-a
#4-5-2
#4-5-2-a
#4-7-3
#4-7-3-a
#5-3-1
#5-3-1-a
#6-1-1
#6-1-1-a
#6-1-2
#6-1-2-a
#6-1-3
#6-1-3-a
#8-3-1
#8-3-1-a
#9-6-1
#9-6-1-a
