Value,Disaggregation combinations using this value,Number of indicators
dg_01,1,1
dg_01_a,1,1
dg_02,1,1
dg_02_a,1,1
dg_03,1,1
dg_03_a,1,1
dg_04,1,1
dg_04_a,1,1
dg_05,1,1
dg_05_a,1,1
dg_06,1,1
dg_06_a,1,1
dg_07,1,1
dg_07_a,1,1
dg_08,1,1
dg_08_a,1,1
dg_09,1,1
dg_09_a,1,1
dg_10,1,1
dg_10_a,1,1
