Indicator
#10-2-2
#10-2-3
#10-4-2
#10-6-1
#10-7-1
#10-7-2
#11-1-3
#11-1-4
#11-1-5
#11-1-6
#11-2-10
#11-2-2
#11-2-3
#11-2-4
#11-2-5
#11-2-6
#11-2-7
#11-2-8
#11-2-9
#11-3-4
#11-4-2
#11-4-3
#11-4-4
#11-4-5
#11-4-6
#11-4-7
#11-5-3
#11-6-2
#11-6-3
#11-6-4
#11-6-5
#11-7-1
#11-7-2
#12-1-2
#12-1-3
#12-5-1
#12-5-2
#13-2-1
#14-1-2
#14-1-3
#15-5-1
#15-5-2
#15-6-1
#16-10-1
#16-10-2
#16-10-3
#16-10-4
#16-10-5
#16-11-1
#16-11-2
#16-12-1
#16-13-1
#16-13-2
#16-13-3
#16-3-3
#16-4-2
#16-6-2
#16-6-3
#16-7-2
#16-9-2
#17-1-3
#17-1-4
#5-1-2
#5-5-7
#5-5-8
#5-6-3
#5-6-4
#5-6-5
#5-7-1
#5-7-2
#5-7-3
#5-7-4
#5-7-5
#5-7-6
#6-3-3
#6-5-2
#7-3-2
#7-3-3
#7-3-4
#7-3-5
#7-4-2
#7-4-3
#7-4-4
#7-5-1
#7-5-10
#7-5-2
#7-5-3
#7-5-4
#7-5-5
#7-5-6
#7-5-7
#7-5-8
#7-5-9
#7-6-1
#7-6-2
#7-6-3
#7-6-4
#7-7-1
#7-7-2
#8-2-3
#8-2-4
#8-3-2
#8-4-2
#9-1-5
#9-1-6
#9-1-7
#9-1-8
#9-1-9
#9-2-2
#9-2-3
#9-2-4
#9-2-5
#9-2-6
#9-2-7
#9-2-8
#9-3-3
#9-3-4
#9-3-5
#9-3-6
#9-3-7
#9-3-8
#9-3-9
#9-6-2
#9-6-3
#9-6-4
#9-7-2
