Value,Disaggregation combinations using this value,Number of indicators
pol_11_dust,2,2
pol_12_sulfur,2,2
pol_13_carbon,2,2
pol_14_nitrogen,2,2
pol_15_nitrix,2,2
pol_16_phenol,2,2
pol_17_soot,2,2
pol_18_hydrogen,2,2
pol_19_ammonia,2,2
pol_20_form,2,2
