Indicator
#1-1-1
#1-1-1-a
#1-1-2
#1-1-3
#1-2-1
#1-2-1-a
#1-3-4
#16-3-2
#16-3-2-a
#16-8-1
#16-8-1-a
#16-8-2
#16-8-2-a
#3-1-4
#3-1-5
#3-10-1
#3-4-2
#3-9-1
#4-1-1
#4-1-1-a
#4-2-1
#4-2-2
#4-4-2
#4-4-2-a
#4-5-1
#4-5-1-a
#4-5-2
#4-5-2-a
#8-3-1
#8-3-1-a
#8-4-1
#8-4-1-a
