Value,Disaggregation combinations using this value,Number of indicators
11_bread,2,2
12_meat,2,2
13_milk,2,2
14_fish,2,2
15_veg,2,2
16_fruits,2,2
17_sugar,2,2
18_oil,2,2
19_eggs,2,2
