Year,Region,Value
2019,28_reg_Ternopil,15.0
2020,28_reg_Ternopil,5.0
2021,28_reg_Ternopil,10.0
2022,28_reg_Ternopil,30.0
2023,28_reg_Ternopil,222.0
2024,28_reg_Ternopil,24.0
2017,29_reg_Kharkiv,34.0
2018,29_reg_Kharkiv,45.0
2019,29_reg_Kharkiv,67.0
2020,29_reg_Kharkiv,38.0
2021,29_reg_Kharkiv,41.0
2022,29_reg_Kharkiv,53.0
2023,29_reg_Kharkiv,58.0
2024,29_reg_Kharkiv,66.0
2017,30_reg_Kherson,5.0
2018,30_reg_Kherson,4.0
2019,30_reg_Kherson,0.0
2020,30_reg_Kherson,0.0
2021,30_reg_Kherson,18.0
2022,30_reg_Kherson,
2023,30_reg_Kherson,
2024,30_reg_Kherson,
2017,31_reg_Khmelnytskyi,33.0
2018,31_reg_Khmelnytskyi,22.0
2019,31_reg_Khmelnytskyi,8.0
2020,31_reg_Khmelnytskyi,7.0
2021,31_reg_Khmelnytskyi,8.0
2022,31_reg_Khmelnytskyi,5.0
2023,31_reg_Khmelnytskyi,225.0
2024,31_reg_Khmelnytskyi,6.0
2017,32_reg_Cherkasy,12.0
2018,32_reg_Cherkasy,7.0
2019,32_reg_Cherkasy,3.0
2020,32_reg_Cherkasy,5.0
2021,32_reg_Cherkasy,6.0
2022,32_reg_Cherkasy,15.0
2023,32_reg_Cherkasy,8.0
2024,32_reg_Cherkasy,16.0
2017,33_reg_Chernivtsi,23.0
2018,33_reg_Chernivtsi,21.0
2019,33_reg_Chernivtsi,17.0
2020,33_reg_Chernivtsi,10.0
2021,33_reg_Chernivtsi,9.0
2022,33_reg_Chernivtsi,3.0
2023,33_reg_Chernivtsi,7.0
2024,33_reg_Chernivtsi,15.0
2017,34_reg_Chernihiv,22.0
2018,34_reg_Chernihiv,29.0
2019,34_reg_Chernihiv,28.0
2020,34_reg_Chernihiv,13.0
2021,34_reg_Chernihiv,8.0
2022,34_reg_Chernihiv,8.0
2023,34_reg_Chernihiv,24.0
2024,34_reg_Chernihiv,48.0
2017,99_reg_Kyiv_city,10.0
2018,99_reg_Kyiv_city,9.0
2019,99_reg_Kyiv_city,9.0
2020,99_reg_Kyiv_city,12.0
2021,99_reg_Kyiv_city,22.0
2022,99_reg_Kyiv_city,19.0
2023,99_reg_Kyiv_city,42.0
2024,99_reg_Kyiv_city,61.0
